TRADEDATE,fac_TOPEN,fac_THIGH,fac_TLOW,fac_TCLOSE,TVOLUME
2000-09-08 00:00:00.000,867.4985,872.0912,862.3956,864.9471,2417100
2000-09-11 00:00:00.000,866.4780,882.2970,859.8441,864.4368,2198800
2000-09-12 00:00:00.000,864.4368,882.2970,864.4368,876.1735,3061300
2000-09-13 00:00:00.000,876.1735,908.3220,876.1735,887.4000,7145900
2000-09-14 00:00:00.000,887.9103,892.5029,872.6015,873.6221,1796700
2000-09-15 00:00:00.000,872.6015,877.7044,867.4985,869.5397,1813500
2000-09-18 00:00:00.000,870.0500,872.6015,857.2927,858.3133,2436800
2000-09-19 00:00:00.000,857.2927,857.2927,835.8604,836.8809,3094000
2000-09-20 00:00:00.000,835.8604,850.6589,821.5721,843.0045,3519300
2000-09-21 00:00:00.000,846.0662,857.2927,830.2471,839.9427,3849000
2000-09-22 00:00:00.000,839.9427,846.0662,827.1854,829.7368,2514800
2000-09-25 00:00:00.000,832.7986,847.0868,832.7986,837.9015,2027000
2000-09-26 00:00:00.000,839.4324,856.7824,839.4324,847.0868,1905900
2000-09-27 00:00:00.000,849.6383,880.2559,849.6383,871.0706,4738200
2000-09-28 00:00:00.000,872.6015,880.7662,860.3544,861.8853,4454100
2000-09-29 00:00:00.000,866.4780,871.5809,862.3956,865.4574,1914400
2000-10-09 00:00:00.000,867.4985,876.6838,850.1486,854.7412,1529500
2000-10-10 00:00:00.000,857.2927,903.2191,852.1897,897.6058,7765000
2000-10-11 00:00:00.000,903.2191,911.3838,887.9103,890.9720,12999600
2000-10-12 00:00:00.000,890.9720,894.0338,873.1118,877.7044,3243200
2000-10-13 00:00:00.000,872.6015,887.9103,872.6015,877.1941,2283200
2000-10-16 00:00:00.000,872.6015,875.6632,854.7412,856.2721,2097700
2000-10-17 00:00:00.000,857.2927,871.5809,852.7000,863.9265,1164700
2000-10-18 00:00:00.000,867.4985,880.2559,862.3956,866.9882,1816000
